label,loc_radius,loc_theta,loc_x,loc_y,loc_z,loc_radius_sph,loc_theta_sph,loc_phi_sph
MEG 941,1.26,79.99,0.22,1.24,0.0,1.26,79.99,0.0
MEG 1013,1.03,92.72,-0.05,1.03,0.0,1.03,92.72,0.0
MEG 1012,1.03,87.17,0.05,1.03,0.0,1.03,87.17,0.0
MEG 1011,1.03,89.94,0.0,1.03,0.0,1.03,89.94,0.0
MEG 1023,1.01,80.85,0.16,1.0,0.0,1.01,80.85,0.0
MEG 1022,1.04,75.39,0.26,1.0,0.0,1.04,75.39,0.0
MEG 1021,1.02,78.09,0.21,1.0,0.0,1.02,78.09,0.0
MEG 1032,0.79,78.05,0.16,0.77,0.0,0.78,77.89,0.0
MEG 1033,0.82,71.18,0.26,0.77,0.0,0.81,70.94,0.0
MEG 1031,0.8,74.55,0.21,0.77,0.0,0.8,74.55,0.0
MEG 1043,0.54,84.16,0.06,0.54,0.0,0.54,84.16,0.0
MEG 1042,0.56,74.0,0.16,0.54,0.0,0.56,73.99,0.0
MEG 1041,0.55,78.99,0.11,0.54,0.0,0.55,78.99,0.0
MEG 1112,0.58,63.93,0.26,0.52,0.0,0.59,64.37,0.0
MEG 1113,0.63,55.8,0.36,0.52,0.0,0.64,56.31,0.0
MEG 1111,0.61,59.7,0.31,0.52,0.0,0.61,59.7,0.0
MEG 1123,0.72,49.98,0.47,0.55,0.0,0.72,49.98,0.0
MEG 1122,0.79,44.48,0.57,0.55,0.0,0.79,44.47,0.0
MEG 1121,0.76,47.11,0.52,0.55,0.0,0.76,47.1,0.0
MEG 1133,0.56,29.36,0.49,0.27,0.0,0.56,29.35,0.0
MEG 1132,0.65,25.09,0.59,0.28,0.0,0.65,25.09,0.0
MEG 1131,0.6,27.07,0.54,0.27,0.0,0.59,27.49,0.0
MEG 1142,0.39,46.54,0.27,0.28,0.0,0.39,46.54,0.0
MEG 1143,0.46,37.62,0.37,0.28,0.0,0.46,37.61,0.0
MEG 1141,0.43,41.69,0.32,0.28,0.0,0.43,41.68,0.0
MEG 1213,1.35,61.65,0.64,1.19,0.0,1.35,61.65,0.0
MEG 1212,1.4,58.06,0.74,1.19,0.0,1.4,58.06,0.0
MEG 1211,1.37,59.82,0.69,1.19,0.0,1.39,59.68,0.0
MEG 1223,1.2,48.19,0.8,0.9,0.0,1.21,47.84,0.0
MEG 1222,1.27,44.86,0.9,0.9,0.0,1.28,44.55,0.0
MEG 1221,1.24,46.48,0.85,0.9,0.0,1.24,46.48,0.0
MEG 1232,1.06,56.66,0.58,0.89,0.0,1.05,56.35,0.0
MEG 1233,1.12,52.4,0.68,0.89,0.0,1.11,52.08,0.0
MEG 1231,1.09,54.47,0.63,0.89,0.0,1.08,54.16,0.0
MEG 1243,0.9,64.79,0.38,0.81,0.0,0.9,64.79,0.0
MEG 1242,0.95,59.33,0.48,0.81,0.0,0.95,58.81,0.0
MEG 1241,0.92,61.99,0.43,0.81,0.0,0.92,61.99,0.0
MEG 1312,0.89,40.47,0.67,0.58,0.0,0.89,40.47,0.0
MEG 1313,0.97,36.66,0.77,0.58,0.0,0.97,37.13,0.0
MEG 1311,0.93,38.48,0.72,0.58,0.0,0.93,38.48,0.0
MEG 1323,1.05,31.93,0.9,0.56,0.0,1.06,31.65,0.0
MEG 1322,1.14,29.31,1.0,0.56,0.0,1.14,29.31,0.0
MEG 1321,1.1,30.57,0.95,0.56,0.0,1.1,30.57,0.0
MEG 1333,0.94,11.57,0.92,0.19,0.0,0.94,11.57,0.0
MEG 1332,1.04,10.51,1.02,0.19,0.0,1.04,10.51,0.0
MEG 1331,0.99,11.01,0.97,0.19,0.0,0.99,11.01,0.0
MEG 1342,0.74,20.15,0.7,0.26,0.0,0.75,19.9,0.0
MEG 1343,0.84,17.85,0.8,0.26,0.0,0.84,17.85,0.0
MEG 1341,0.79,18.93,0.75,0.26,0.0,0.79,18.93,0.0
MEG 1412,1.43,44.37,1.02,1.0,0.0,1.43,44.36,0.0
MEG 1413,1.5,41.72,1.12,1.0,0.0,1.51,41.47,0.0
MEG 1411,1.47,43.01,1.07,1.0,0.0,1.47,42.75,0.0
MEG 1423,1.62,33.9,1.34,0.9,0.0,1.62,34.19,0.0
MEG 1422,1.7,32.04,1.44,0.9,0.0,1.7,32.04,0.0
MEG 1421,1.66,32.94,1.39,0.9,0.0,1.66,32.94,0.0
MEG 1433,1.49,14.07,1.45,0.36,0.0,1.49,14.07,0.0
MEG 1432,1.54,13.63,1.5,0.36,0.0,1.54,13.63,0.0
MEG 1431,1.54,13.63,1.5,0.36,0.0,1.54,13.63,0.0
MEG 1442,1.28,26.87,1.14,0.58,0.0,1.28,26.86,0.0
MEG 1443,1.37,25.01,1.24,0.58,0.0,1.37,25.01,0.0
MEG 1441,1.33,25.91,1.19,0.58,0.0,1.33,25.91,0.0
MEG 1512,1.28,173.76,-1.27,0.14,0.0,1.28,173.76,0.0
MEG 1513,1.18,173.19,-1.17,0.14,0.0,1.18,173.19,0.0
MEG 1511,1.23,173.49,-1.22,0.14,0.0,1.23,173.49,0.0
MEG 1522,1.22,-165.69,-1.18,-0.3,0.0,1.22,-165.69,0.0
MEG 1523,1.12,-164.47,-1.08,-0.3,0.0,1.12,-164.47,0.0
MEG 1521,1.17,-165.11,-1.13,-0.3,0.0,1.16,-164.98,0.0
MEG 1533,1.48,-152.59,-1.31,-0.68,0.0,1.48,-152.59,0.0
MEG 1532,1.39,-150.73,-1.21,-0.68,0.0,1.39,-150.73,0.0
MEG 1531,1.44,-151.69,-1.26,-0.68,0.0,1.43,-152.04,0.0
MEG 1543,1.51,-173.03,-1.5,-0.18,0.0,1.51,-173.03,0.0
MEG 1542,1.41,-172.58,-1.4,-0.18,0.0,1.41,-172.58,0.0
MEG 1541,1.46,-172.81,-1.45,-0.18,0.0,1.46,-172.81,0.0
MEG 1613,0.97,-170.62,-0.96,-0.16,0.0,0.97,-170.62,0.0
MEG 1612,0.87,-169.61,-0.86,-0.16,0.0,0.87,-169.61,0.0
MEG 1611,0.92,-170.14,-0.91,-0.16,0.0,0.92,-170.14,0.0
MEG 1622,0.76,-175.74,-0.76,-0.06,0.0,0.76,-175.74,0.0
MEG 1623,0.66,-175.17,-0.66,-0.06,0.0,0.66,-175.17,0.0
MEG 1621,0.71,-175.47,-0.71,-0.06,0.0,0.71,-175.47,0.0
MEG 1632,0.7,-151.48,-0.62,-0.34,0.0,0.71,-151.86,0.0
MEG 1633,0.62,-147.1,-0.52,-0.33,0.0,0.62,-147.1,0.0
MEG 1631,0.66,-149.43,-0.57,-0.33,0.0,0.66,-149.43,0.0
MEG 1643,0.95,-149.68,-0.82,-0.48,0.0,0.94,-149.38,0.0
MEG 1642,0.86,-146.36,-0.72,-0.48,0.0,0.86,-146.37,0.0
MEG 1641,0.9,-148.1,-0.77,-0.48,0.0,0.9,-148.1,0.0
MEG 1713,1.48,-133.95,-1.03,-1.07,0.0,1.48,-133.96,0.0
MEG 1712,1.42,-131.07,-0.93,-1.07,0.0,1.42,-131.07,0.0
MEG 1711,1.45,-132.54,-0.98,-1.07,0.0,1.45,-132.55,0.0
MEG 1722,1.2,-145.41,-0.98,-0.68,0.0,1.2,-145.41,0.0
MEG 1723,1.11,-142.53,-0.88,-0.68,0.0,1.11,-142.53,0.0
MEG 1721,1.15,-144.02,-0.93,-0.68,0.0,1.15,-144.02,0.0
MEG 1732,1.21,-126.75,-0.72,-0.97,0.0,1.2,-127.04,0.0
MEG 1733,1.15,-122.77,-0.62,-0.97,0.0,1.15,-122.78,0.0
MEG 1731,1.18,-124.81,-0.67,-0.97,0.0,1.17,-125.1,0.0
MEG 1743,1.51,-116.75,-0.68,-1.35,0.0,1.51,-116.75,0.0
MEG 1742,1.46,-113.26,-0.58,-1.35,0.0,1.46,-113.27,0.0
MEG 1741,1.48,-115.03,-0.63,-1.35,0.0,1.48,-115.2,0.0
MEG 1813,0.55,179.46,-0.55,0.01,0.0,0.55,179.46,0.0
MEG 1812,0.45,179.23,-0.45,0.01,0.0,0.45,179.23,0.0
MEG 1811,0.5,179.35,-0.5,0.01,0.0,0.5,179.35,0.0
MEG 1822,0.35,173.98,-0.35,0.04,0.0,0.35,173.98,0.0
MEG 1823,0.25,171.41,-0.25,0.04,0.0,0.26,171.75,0.0
MEG 1821,0.3,172.91,-0.3,0.04,0.0,0.3,172.91,0.0
MEG 1832,0.22,-136.35,-0.16,-0.15,0.0,0.22,-136.35,0.0
MEG 1833,0.16,-111.3,-0.06,-0.15,0.0,0.16,-111.3,0.0
MEG 1831,0.19,-125.75,-0.11,-0.15,0.0,0.18,-123.19,0.0
MEG 1843,0.47,-147.49,-0.4,-0.25,0.0,0.47,-147.5,0.0
MEG 1842,0.39,-139.69,-0.3,-0.25,0.0,0.39,-139.7,0.0
MEG 1841,0.43,-143.96,-0.35,-0.25,0.0,0.43,-143.96,0.0
MEG 1912,0.68,-128.55,-0.43,-0.53,0.0,0.68,-128.56,0.0
MEG 1913,0.62,-121.41,-0.33,-0.53,0.0,0.63,-120.93,0.0
MEG 1911,0.65,-125.14,-0.38,-0.53,0.0,0.65,-125.14,0.0
MEG 1923,0.94,-111.41,-0.34,-0.87,0.0,0.93,-111.65,0.0
MEG 1922,0.91,-105.53,-0.24,-0.87,0.0,0.9,-105.71,0.0
MEG 1921,0.92,-108.53,-0.29,-0.87,0.0,0.92,-108.53,0.0
MEG 1932,1.21,-109.72,-0.41,-1.14,0.0,1.21,-109.28,0.0
MEG 1933,1.18,-105.18,-0.31,-1.14,0.0,1.18,-105.18,0.0
MEG 1931,1.2,-107.48,-0.36,-1.14,0.0,1.2,-107.48,0.0
MEG 1943,0.94,-130.17,-0.6,-0.72,0.0,0.94,-129.77,0.0
MEG 1942,0.87,-125.19,-0.5,-0.71,0.0,0.87,-124.66,0.0
MEG 1941,0.9,-127.76,-0.55,-0.71,0.0,0.9,-127.27,0.0
MEG 2013,0.43,-113.05,-0.17,-0.39,0.0,0.43,-113.05,0.0
MEG 2012,0.4,-99.68,-0.07,-0.39,0.0,0.4,-99.68,0.0
MEG 2011,0.41,-106.6,-0.12,-0.39,0.0,0.41,-106.6,0.0
MEG 2023,0.41,-79.57,0.07,-0.4,0.0,0.4,-79.32,0.0
MEG 2022,0.43,-66.47,0.17,-0.4,0.0,0.43,-66.47,0.0
MEG 2021,0.42,-72.8,0.12,-0.4,0.0,0.42,-72.8,0.0
MEG 2032,0.64,-83.26,0.08,-0.64,0.0,0.65,-83.35,0.0
MEG 2033,0.66,-74.62,0.18,-0.64,0.0,0.66,-75.46,0.0
MEG 2031,0.65,-78.88,0.13,-0.64,0.0,0.65,-79.75,0.0
MEG 2042,0.66,-105.21,-0.17,-0.64,0.0,0.66,-105.45,0.0
MEG 2043,0.64,-96.63,-0.07,-0.64,0.0,0.64,-96.74,0.0
MEG 2041,0.65,-100.98,-0.12,-0.64,0.0,0.65,-100.98,0.0
MEG 2113,0.92,-93.23,-0.05,-0.92,0.0,0.92,-93.23,0.0
MEG 2112,0.92,-87.01,0.05,-0.92,0.0,0.92,-87.01,0.0
MEG 2111,0.92,-90.12,-0.0,-0.92,0.0,0.92,-90.12,0.0
MEG 2122,1.21,-92.81,-0.06,-1.21,0.0,1.21,-92.81,0.0
MEG 2123,1.21,-88.08,0.04,-1.21,0.0,1.21,-88.08,0.0
MEG 2121,1.21,-90.45,-0.01,-1.21,0.0,1.21,-90.45,0.0
MEG 2133,1.5,-84.93,0.13,-1.5,0.0,1.5,-84.93,0.0
MEG 2132,1.52,-81.16,0.23,-1.5,0.0,1.52,-81.16,0.0
MEG 2131,1.51,-83.03,0.18,-1.5,0.0,1.51,-83.03,0.0
MEG 2143,1.52,-100.88,-0.29,-1.49,0.0,1.52,-100.88,0.0
MEG 2142,1.5,-97.15,-0.19,-1.49,0.0,1.5,-97.15,0.0
MEG 2141,1.51,-99.02,-0.24,-1.49,0.0,1.51,-99.03,0.0
MEG 2212,0.26,7.08,0.26,0.03,0.0,0.26,7.08,0.0
MEG 2213,0.36,5.26,0.36,0.03,0.0,0.36,5.26,0.0
MEG 2211,0.31,6.03,0.31,0.03,0.0,0.31,6.03,0.0
MEG 2223,0.46,0.5,0.46,0.0,0.0,0.46,0.5,0.0
MEG 2222,0.56,0.5,0.56,0.0,0.0,0.56,0.5,0.0
MEG 2221,0.51,0.5,0.51,0.0,0.0,0.51,0.5,0.0
MEG 2233,0.4,-40.41,0.3,-0.26,0.0,0.4,-40.41,0.0
MEG 2232,0.48,-32.52,0.4,-0.26,0.0,0.48,-32.52,0.0
MEG 2231,0.44,-36.11,0.35,-0.26,0.0,0.44,-36.1,0.0
MEG 2242,0.16,-67.7,0.06,-0.15,0.0,0.16,-67.7,0.0
MEG 2243,0.22,-42.65,0.16,-0.15,0.0,0.22,-42.65,0.0
MEG 2241,0.19,-53.25,0.11,-0.15,0.0,0.19,-54.99,0.0
